iso_3166_2,county_name,fdi_huf_millions,employment_rate,unemployment_rate,gross_avg_salary_huf,GDP_percapita_huf_thousands,highschool_graduate_rate
HU-BU,Budapest,17671700,69.87,2.3,2524753,14559,104.0
HU-PE,Pest,3878700,66.82,2.2,1813944,5919,36.1
HU-FE,Fejer,1669100,66.41,2.2,1954419,6354,61.1
HU-KE,Komarom-Esztergom,3159100,67.83,1.4,1971271,6285,59.8
HU-VE,Veszprem,813600,64.22,1.3,1804934,5524,64.0
HU-GS,Gyor-Moson-Sopron,1692600,68.61,2.0,2094714,7263,72.5
HU-VA,Vas,704400,64.32,1.6,1834860,5704,71.1
HU-ZA,Zala,95300,61.10,4.0,1633852,5045,70.8
HU-BA,Baranya,220500,59.53,4.3,1694077,4756,56.8
HU-SO,Somogy,126100,56.04,5.9,1627125,4393,57.1
HU-TO,Tolna,161900,60.58,3.7,1868316,5166,63.2
HU-BZ,Borsod-Abauj-Zemplen,2055700,59.02,6.7,1597810,4595,55.3
HU-HE,Heves,590200,60.04,3.7,1843418,4898,69.2
HU-NO,Nograd,161200,58.28,8.5,1590402,3166,34.7
HU-HB,Hajdu-Bihar,1897900,61.56,5.0,1707834,5003,60.2
HU-JN,Jasz-Nagykun-Szolnok,744500,61.95,5.0,1635359,4325,62.2
HU-SZ,Szabolcs-Szatmar-Bereg,628200,59.20,8.4,1447207,4023,56.5
HU-BK,Bacs-Kiskun,699700,62.90,4.0,1720181,5168,63.4
HU-BE,Bekes,561100,59.30,6.5,1513843,4037,69.7
HU-CS,Csongrad-Csanad,214200,64.19,2.0,1745573,5450,77.4
